text,category,priority
AC di ruang kuliah 301 sudah 2 minggu rusak dan tidak diperbaiki padahal sudah lapor berkali kali,fasilitas,urgent
Sistem KRS online error tidak bisa diakses padahal besok adalah batas akhir pengisian,teknologi,urgent
Pelecehan verbal oleh oknum keamanan kampus di gerbang depan sangat meresahkan,lainnya,urgent
Tagihan UKT saya tiba tiba naik 2 juta rupiah padahal kondisi ekonomi keluarga sedang sulit,keuangan,urgent
Lampu di area parkiran belakang mati total sangat gelap dan rawan tindak kriminalitas,fasilitas,urgent
Nilai mata kuliah saya belum keluar di portal akademik padahal sudah 2 minggu UAS selesai,akademik,urgent
Dosen mata kuliah algoritma sering terlambat masuk kelas tanpa pemberitahuan yang jelas,akademik,normal
Jadwal kuliah bentrok antara mata kuliah pilihan dan mata kuliah wajib semester ini,akademik,normal
Ruang kelas sering berpindah pindah tanpa ada pemberitahuan resmi dari bagian akademik,akademik,normal
Mohon informasi terkait prosedur pengajuan cuti akademik untuk semester depan,akademik,low
Apakah ada beasiswa untuk mahasiswa berprestasi dengan IPK diatas 3.5,kesejahteraan,low
Saran penambahan menu makanan vegetarian di kantin fakultas teknik,kesejahteraan,low
AC ruangan mati dan mahasiswa kepanasan tidak bisa konsentrasi belajar,fasilitas,urgent
Ada kebocoran atap di gedung B lantai 3 saat hujan deras air masuk ke ruang kelas,fasilitas,urgent
Proyektor di ruang 202 tidak berfungsi sehingga dosen tidak bisa menampilkan materi presentasi,fasilitas,normal
Toilet di lantai 2 gedung A kotor dan bau tidak sedap perlu dibersihkan segera,fasilitas,normal
Mohon perbaikan meja dan kursi yang rusak di ruang baca perpustakaan,fasilitas,low
Saya mengalami kesulitan membayar UKT karena orang tua terkena PHK mohon keringanan,keuangan,urgent
Beasiswa bidikmisi saya belum cair padahal sudah 3 bulan ini sangat mempengaruhi biaya hidup,keuangan,urgent
Bagaimana cara mengajukan keringanan UKT untuk mahasiswa yang terdampak bencana alam,keuangan,normal
Apakah ada cicilan pembayaran UKT untuk mahasiswa yang kesulitan ekonomi,keuangan,normal
Informasi mengenai beasiswa dari perusahaan mitra UNSAP untuk mahasiswa teknik,keuangan,low
Website portal akademik sering down saat jam jam penting seperti pengisian KRS,teknologi,urgent
Server e learning mati saat ujian online berlangsung mahasiswa tidak bisa mengakses soal,teknologi,urgent
WiFi kampus di area perpustakaan sangat lambat tidak bisa untuk mencari referensi,teknologi,normal
Akun email mahasiswa saya tiba tiba tidak bisa login padahal tidak pernah ganti password,teknologi,normal
Mohon tutorial cara menggunakan aplikasi presensi online yang baru,teknologi,low
Rekomendasi laptop yang cocok untuk mahasiswa teknik informatika dengan budget terbatas,teknologi,low
Pelecehan seksual oleh senior saat ospek sangat traumatis dan butuh pendampingan psikologis,lainnya,urgent
Diskriminasi oleh dosen terhadap mahasiswa dari daerah tertentu dalam penilaian tugas,akademik,urgent
Mahasiswa difabel kesulitan akses ke lantai 2 karena tidak ada lift atau ramp yang memadai,fasilitas,urgent
Kekerasan fisik antar mahasiswa di area parkiran perlu tindakan tegas dari pihak kampus,lainnya,urgent
Surat keterangan aktif kuliah belum selesai diproses padahal untuk syarat beasiswa eksternal,administrasi,normal
Transkrip nilai yang diminta untuk lamaran kerja belum juga keluar dari bagian akademik,administrasi,normal
Bagaimana prosedur legalisir ijazah dan transkrip untuk keperluan studi lanjut,administrasi,low
Tempat sampah di taman kampus penuh dan tidak pernah diangkut selama seminggu,fasilitas,normal
Air minum di dispenser fakultas hukum sering habis dan petugas lambat mengganti,kesejahteraan,normal
Jadwal praktikum bertabrakan dengan jadwal ibadah untuk mahasiswa muslim,akademik,urgent
Tidak ada jalur khusus untuk mahasiswa yang sedang sakit saat mengikuti ujian tengah semester,akademik,normal
Lahan parkir sepeda motor terlalu sempit dan banyak motor yang diparkir di sembarang tempat,fasilitas,normal
Kipas angin di ruang seminar rusak sehingga ruangan pengap dan tidak nyaman,fasilitas,normal
Papan pengumuman di departemen teknik sipil jarang diperbarui informasinya,administrasi,low
Saya kehilangan dompet di kantin dan tidak ada CCTV untuk membantu pencarian,fasilitas,urgent
Dosen matakuliah kalkulus tidak pernah memberikan umpan balik terhadap tugas yang dikumpulkan,akademik,normal
Praktikum kimia dasar sering kekurangan alat dan bahan sehingga praktikan menganggur,fasilitas,urgent
Laboratorium komputer banyak virus dan PC sering hang saat digunakan praktikum,teknologi,urgent
Tidak ada ruang laktasi untuk ibu menyusui di lingkungan kampus,fasilitas,normal
Lift gedung rektorat rusak dan menyulitkan dosen serta mahasiswa yang berkebutuhan khusus,fasilitas,urgent
Saluran air di depan fakultas ekonomi tersumbat sehingga banjir saat hujan lebat,fasilitas,urgent
Informasi pembatalan kelas sering disampaikan mendadak via WA group tanpa pengumuman resmi,akademik,normal
UKT anak saya yang kuliah di semester 5 tiba tiba naik 300% tanpa pemberitahuan sebelumnya,keuangan,urgent
Saya korban pungli saat mengurus KTM baru di bagian administrasi,lainnya,urgent
Bantuan kuota internet dari kampus untuk mahasiswa kurang mampu tidak pernah cair,keuangan,urgent
Dosen pengajar sering mengganti jadwal kuliah tanpa koordinasi dengan mahasiswa,akademik,normal
Toilet umum kampus tidak menyediakan sabun dan hand sanitizer di tengah musim penyakit,fasilitas,urgent
Pohon besar di halaman depan rapuh dan berpotensi tumbang saat angin kencang,fasilitas,urgent
Parkir roda empat sangat terbatas padahal banyak dosen dan mahasiswa S3 yang membawa mobil,fasilitas,normal
Sistem pengaduan online kampus tidak pernah merespon laporan yang sudah masuk,teknologi,urgent
Dosen pembimbing skripsi saya sulit ditemui dan tidak aktif membimbing selama 2 bulan,akademik,urgent
Beasiswa prestasi akademik tahun ini dipotong 50% tanpa alasan yang jelas,keuangan,urgent
Tidak ada jalur pejalan kaki yang aman dari gerbang ke gedung kuliah karena sering dilewati motor,fasilitas,urgent
Proses verifikasi berkas yudisium sangat lama padahal sudah lewat dari batas waktu yang dijanjikan,administrasi,urgent
Sertifikat pelatihan dari BEM tidak kunjung dibagikan padahal sudah 3 bulan,administrasi,normal
Prasarana olahraga seperti lapangan basket rusak dan tidak terawat, fasilitas,normal
Ruang baca perpustakaan terlalu bising karena banyak mahasiswa yang ngobrol dan tidak ditegur,akademik,normal
Mahasiswa korban salah satu dosen karena nilai kelulusan di bawah standar padahal sudah memenuhi syarat,akademik,urgent
Iuran kegiatan kemahasiswaan yang dipungut BEM tidak transparan dan tidak ada laporan keuangan,kesejahteraan,urgent
Dispenser air panas di fakultas kedokteran rusak dan mahasiswa kesulitan membuat mi instan,kesejahteraan,normal
Jadwal konsultasi dosen wali tidak sesuai dengan jadwal kuliah mahasiswa sehingga sulit bertemu,akademik,normal
Pedestrian bridge penghubung gedung A dan B tidak beratap sehingga kehujanan saat berpindah kelas,fasilitas,normal
Aplikasi mobile kampus untuk cek nilai sering force close di hp android,teknologi,normal
Mohon difasilitasi ruang sholat yang lebih luas mengingat jumlah mahasiswa muslim yang terus bertambah,fasilitas,low
Loker mahasiswa di perpustakaan banyak yang gemboknya rusak dan tidak bisa digunakan,fasilitas,normal
SPP semester depan diumumkan naik secara sepihak tanpa melibatkan mahasiswa dalam rapat,keuangan,urgent
Dosen meminta mahasiswa membeli modul cetak buatannya sendiri dengan harga mahal,akademik,urgent
Mahasiswa korban salah satu oknum dosen yang meminta imbalan materi untuk kelancaran sidang,akademik,urgent
"""""""Server perpustakaan digital down seminggu, mahasiswa tidak bisa akses jurnal internasional""""""",teknologi,urgent
Tidak ada area merokok khusus sehingga perokok merokok sembarangan di dekat pintu masuk kelas,fasilitas,normal
Kantin kejujuran di gedung C sering kehabisan stok makanan ringan,kesejahteraan,low
Mahasiswa difabel netra tidak tersedia ujian dalam format braille atau audio,akademik,urgent
Mesin fotokopi di koperasi mahasiswa sering rusak dan antrian panjang, fasilitas,normal
Pengumuman libur nasional atau cuti bersama sering terlambat sehingga mahasiswa sudah berangkat kampus,administrasi,normal
Dosen tidak mengkonfirmasi kehadiran mahasiswa secara akurat padahal absen sangat mempengaruhi nilai,akademik,normal
Kolam ikan kampus jarang dibersihkan sehingga bau dan nyamuk,fasilitas,low
Tidak ada fasilitas bank sampah atau program daur ulang di kampus,kesejahteraan,low
Penyalahgunaan dana himpunan mahasiswa oleh ketua himpunan tidak transparan,keuangan,urgent
Mahasiswa internasional kesulitan mengurus visa dan kartu mahasiswa karena prosedur berbelit,administrasi,urgent
